id,season,team_name,players,staff
11,2,Execration,"[{""ign"": ""JeffQt4ever"", ""role"": ""EXP Lane""}, {""ign"": ""Lard"", ""role"": ""Jungler""}, {""ign"": ""Pakbet"", ""role"": ""Middle""}, {""ign"": ""Z4pnu"", ""role"": ""Gold Lane""}, {""ign"": ""YoLo"", ""role"": ""Roamer""}]",[]
12,2,AP.Bren,"[{""ign"": ""Coco"", ""role"": ""S""}, {""ign"": ""Pein"", ""role"": ""EXP Lane""}, {""ign"": ""Ribo"", ""role"": ""Jungler""}, {""ign"": ""Yuji"", ""role"": ""Middle""}, {""ign"": ""YellyHaze"", ""role"": ""Gold Lane""}, {""ign"": ""666"", ""role"": ""Roamer""}]",[]
13,2,Cignal Ultra,"[{""ign"": ""Dysania"", ""role"": ""S""}, {""ign"": ""Eson"", ""role"": ""EXP Lane""}, {""ign"": ""Yakou"", ""role"": ""Jungler""}, {""ign"": ""Dee"", ""role"": ""Middle""}, {""ign"": ""Pheww"", ""role"": ""Gold Lane""}, {""ign"": ""Tets"", ""role"": ""Roamer""}]",[]
14,2,ArkAngel Wicked Minds,"[{""ign"": ""Exort"", ""role"": ""S""}, {""ign"": ""Elle"", ""role"": ""EXP Lane""}, {""ign"": ""Pandaaa"", ""role"": ""Jungler""}, {""ign"": ""Ryo"", ""role"": ""Middle""}, {""ign"": ""Jaypee"", ""role"": ""Gold Lane""}, {""ign"": ""Jay"", ""role"": ""Roamer""}]",[]
15,2,White Rascals,"[{""ign"": ""Wreck"", ""role"": ""S""}, {""ign"": ""Kenzu"", ""role"": ""EXP Lane""}, {""ign"": ""Snow"", ""role"": ""Jungler""}, {""ign"": ""Ramen"", ""role"": ""Middle""}, {""ign"": ""Naith"", ""role"": ""Gold Lane""}, {""ign"": ""Chalk"", ""role"": ""Roamer""}]",[]
16,2,SxC Imbalance,"[{""ign"": ""Bon Chon"", ""role"": ""S""}, {""ign"": ""Dexter"", ""role"": ""EXP Lane""}, {""ign"": ""Hon Da"", ""role"": ""Jungler""}, {""ign"": ""Ar Chi"", ""role"": ""Middle""}, {""ign"": ""Had Ji"", ""role"": ""Gold Lane""}, {""ign"": ""Ge Dd"", ""role"": ""Roamer""}]",[]
17,2,HappyFeet,"[{""ign"": ""2yeon"", ""role"": ""S""}, {""ign"": ""yb420"", ""role"": ""EXP Lane""}, {""ign"": ""Chimaie"", ""role"": ""Jungler""}, {""ign"": ""Secret"", ""role"": ""Middle""}, {""ign"": ""ShaiderQT"", ""role"": ""Gold Lane""}, {""ign"": ""Pringles"", ""role"": ""Roamer""}]",[]
18,2,Aether Main,"[{""ign"": ""L3bron"", ""role"": ""EXP Lane""}, {""ign"": ""Crypt"", ""role"": ""Jungler""}, {""ign"": ""Kenji"", ""role"": ""Middle""}, {""ign"": ""Changu"", ""role"": ""Gold Lane""}, {""ign"": ""Ejhay"", ""role"": ""Roamer""}]",[]
19,2,Finesse Solid,"[{""ign"": ""Dale"", ""role"": ""S""}, {""ign"": ""Lex"", ""role"": ""EXP Lane""}, {""ign"": ""Nick"", ""role"": ""Jungler""}, {""ign"": ""Karl"", ""role"": ""Middle""}, {""ign"": ""Levi"", ""role"": ""Gold Lane""}, {""ign"": ""Boo"", ""role"": ""Roamer""}]",[]
20,2,ArkAngel Ownage,"[{""ign"": ""Cktd"", ""role"": ""S""}, {""ign"": ""Pauu"", ""role"": ""EXP Lane""}, {""ign"": ""Lusty"", ""role"": ""Jungler""}, {""ign"": ""Carbonara"", ""role"": ""Middle""}, {""ign"": ""Lembot"", ""role"": ""Gold Lane""}, {""ign"": ""Fuzaken"", ""role"": ""Roamer""}]",[]
21,3,Cignal Ultra,"[{""ign"": ""Dysania"", ""role"": ""S""}, {""ign"": ""Eson"", ""role"": ""EXP Lane""}, {""ign"": ""Yakou"", ""role"": ""Jungler""}, {""ign"": ""Dee"", ""role"": ""Middle""}, {""ign"": ""Pheww"", ""role"": ""Gold Lane""}, {""ign"": ""Tets"", ""role"": ""Roamer""}]",[]
22,3,AP.Bren,"[{""ign"": ""Coco"", ""role"": ""S""}, {""ign"": ""Pein"", ""role"": ""EXP Lane""}, {""ign"": ""Ribo"", ""role"": ""Jungler""}, {""ign"": ""Yuji"", ""role"": ""Middle""}, {""ign"": ""YellyHaze"", ""role"": ""Gold Lane""}, {""ign"": ""Ejhay"", ""role"": ""Roamer""}]",[]
23,3,SGD Omega,"[{""ign"": ""Dale"", ""role"": ""S""}, {""ign"": ""Lex"", ""role"": ""EXP Lane""}, {""ign"": ""Ivan"", ""role"": ""Jungler""}, {""ign"": ""Karl"", ""role"": ""Middle""}, {""ign"": ""Levi"", ""role"": ""Gold Lane""}, {""ign"": ""Heath"", ""role"": ""Roamer""}]",[]
24,3,EVOS Esports PH,"[{""ign"": ""Had Ji"", ""role"": ""S""}, {""ign"": ""Dexter"", ""role"": ""EXP Lane""}, {""ign"": ""Hon Da"", ""role"": ""Jungler""}, {""ign"": ""Ar Chi"", ""role"": ""Middle""}, {""ign"": ""Doof En"", ""role"": ""Gold Lane""}, {""ign"": ""Bon Chon"", ""role"": ""Roamer""}]",[]
25,3,Aether Atlas,"[{""ign"": ""Luwe"", ""role"": ""S""}, {""ign"": ""L3bron"", ""role"": ""EXP Lane""}, {""ign"": ""Crypt"", ""role"": ""Jungler""}, {""ign"": ""Kenji"", ""role"": ""Middle""}, {""ign"": ""Changu"", ""role"": ""Gold Lane""}, {""ign"": ""Ognimod"", ""role"": ""Roamer""}]",[]
26,3,Execration,"[{""ign"": ""Toshiro"", ""role"": ""S""}, {""ign"": ""Dian"", ""role"": ""EXP Lane""}, {""ign"": ""Lard"", ""role"": ""Jungler""}, {""ign"": ""Pakbet"", ""role"": ""Middle""}, {""ign"": ""Z4pnu"", ""role"": ""Gold Lane""}, {""ign"": ""E2max"", ""role"": ""Roamer""}]",[]
27,3,Ownage,"[{""ign"": ""Exort"", ""role"": ""S""}, {""ign"": ""Pauu"", ""role"": ""EXP Lane""}, {""ign"": ""Cktd"", ""role"": ""Jungler""}, {""ign"": ""Beemo"", ""role"": ""Middle""}, {""ign"": ""Lembot"", ""role"": ""Gold Lane""}, {""ign"": ""Fuzaken"", ""role"": ""Roamer""}]",[]
28,3,ArkAngel,"[{""ign"": ""Fits Kyun"", ""role"": ""S""}, {""ign"": ""Panda"", ""role"": """"}, {""ign"": ""Killuash"", ""role"": ""EXP Lane""}, {""ign"": ""Lusty"", ""role"": ""Jungler""}, {""ign"": ""Ryo"", ""role"": ""Middle""}, {""ign"": ""JeffQT4ever"", ""role"": ""Gold Lane""}, {""ign"": ""Jay"", ""role"": ""Roamer""}]",[]
29,3,No Limit,"[{""ign"": ""Chico"", ""role"": ""S""}, {""ign"": ""Kielvj"", ""role"": ""EXP Lane""}, {""ign"": ""Emem"", ""role"": ""Jungler""}, {""ign"": ""Skyy"", ""role"": ""Middle""}, {""ign"": ""Jaypee"", ""role"": ""Gold Lane""}, {""ign"": ""Rafflesia"", ""role"": ""Roamer""}]",[]
30,3,Finesse Phoenix,"[{""ign"": ""Dazz"", ""role"": ""S""}, {""ign"": ""Wave"", ""role"": ""EXP Lane""}, {""ign"": ""Tian"", ""role"": ""Jungler""}, {""ign"": ""Dain"", ""role"": ""Middle""}, {""ign"": ""Touch"", ""role"": ""Gold Lane""}, {""ign"": ""Russ"", ""role"": ""Roamer""}]",[]
31,4,Cignal Ultra,"[{""ign"": ""Dysania"", ""role"": ""S""}, {""ign"": ""Eson"", ""role"": ""EXP Lane""}, {""ign"": ""Yakou"", ""role"": ""Jungler""}, {""ign"": ""Dee"", ""role"": ""Middle""}, {""ign"": ""Pheww"", ""role"": ""Gold Lane""}, {""ign"": ""Tets"", ""role"": ""Roamer""}]",[]
32,4,AP.Bren,"[{""ign"": ""Coco"", ""role"": ""S""}, {""ign"": ""Teng"", ""role"": ""EXP Lane""}, {""ign"": ""Ribo"", ""role"": ""Jungler""}, {""ign"": ""Yuji"", ""role"": ""Middle""}, {""ign"": ""YellyHaze"", ""role"": ""Gold Lane""}, {""ign"": ""Ejhay"", ""role"": ""Roamer""}]",[]
33,4,SGD Omega,"[{""ign"": ""Ivan"", ""role"": ""S""}, {""ign"": ""Kenji"", ""role"": ""EXP Lane""}, {""ign"": ""Crypzu"", ""role"": ""Jungler""}, {""ign"": ""KarlTzy"", ""role"": ""Middle""}, {""ign"": ""Toshinu"", ""role"": ""Gold Lane""}, {""ign"": ""Heath"", ""role"": ""Roamer""}]",[]
34,4,EVOS Esports PH,"[{""ign"": ""Had ji"", ""role"": ""S""}, {""ign"": ""Dexter"", ""role"": ""EXP Lane""}, {""ign"": ""Hon Da"", ""role"": ""Jungler""}, {""ign"": ""Kil Ler"", ""role"": ""Middle""}, {""ign"": ""Doof En"", ""role"": ""Gold Lane""}, {""ign"": ""Bon Chon"", ""role"": ""Roamer""}]",[]
35,4,Execration,"[{""ign"": ""Dian"", ""role"": ""S""}, {""ign"": ""Hate"", ""role"": """"}, {""ign"": ""Ch4knu"", ""role"": ""EXP Lane""}, {""ign"": ""Mae"", ""role"": ""Jungler""}, {""ign"": ""Pakbet"", ""role"": ""Middle""}, {""ign"": ""Z4pnu"", ""role"": ""Gold Lane""}, {""ign"": ""Cyre"", ""role"": ""Roamer""}]",[]
36,4,Ownage,"[{""ign"": ""Nicssu"", ""role"": ""EXP Lane""}, {""ign"": ""Cktd"", ""role"": ""Jungler""}, {""ign"": ""Beemo"", ""role"": ""Middle""}, {""ign"": ""Lembot"", ""role"": ""Gold Lane""}, {""ign"": ""Inyel"", ""role"": ""Roamer""}]",[]
37,4,ArkAngel,"[{""ign"": ""E2MAX"", ""role"": ""S""}, {""ign"": ""Panda"", ""role"": """"}, {""ign"": ""Killuash"", ""role"": ""EXP Lane""}, {""ign"": ""Lusty"", ""role"": ""Jungler""}, {""ign"": ""Ryo"", ""role"": ""Middle""}, {""ign"": ""JeffQT4ever"", ""role"": ""Gold Lane""}, {""ign"": ""Jay"", ""role"": ""Roamer""}]",[]
38,4,Sunsparks,"[{""ign"": ""Eskii"", ""role"": ""S""}, {""ign"": ""Kielvj"", ""role"": ""EXP Lane""}, {""ign"": ""Rafflesia"", ""role"": ""Jungler""}, {""ign"": ""Renzio"", ""role"": ""Middle""}, {""ign"": ""Jaypee"", ""role"": ""Gold Lane""}, {""ign"": ""Fuzaken"", ""role"": ""Roamer""}]",[]
39,4,Geek Fam PH,"[{""ign"": ""Jieo"", ""role"": ""S""}, {""ign"": ""ynoT"", ""role"": ""EXP Lane""}, {""ign"": ""KurtTzy"", ""role"": ""Jungler""}, {""ign"": ""Kingpin"", ""role"": ""Middle""}, {""ign"": ""Escanor"", ""role"": ""Gold Lane""}, {""ign"": ""Dokmen"", ""role"": ""Roamer""}]",[]
40,4,ONIC PH,"[{""ign"": ""Greed"", ""role"": ""S""}, {""ign"": ""Dlar"", ""role"": ""EXP Lane""}, {""ign"": ""Zico"", ""role"": ""Jungler""}, {""ign"": ""Wise"", ""role"": ""Middle""}, {""ign"": ""Iy4knu"", ""role"": ""Gold Lane""}, {""ign"": ""OhMyV33Nus"", ""role"": ""Roamer""}]",[]
41,5,Sunsparks,"[{""ign"": ""Renzio"", ""role"": ""EXP Lane""}, {""ign"": ""Arcadia"", ""role"": """"}, {""ign"": ""Killuash"", ""role"": ""EXP Lane""}, {""ign"": ""Kielvj"", ""role"": ""Middle""}, {""ign"": ""Jaypee"", ""role"": ""Gold Lane""}, {""ign"": ""Greed"", ""role"": ""Roamer""}, {""ign"": ""Rafflesia"", ""role"": ""Roamer""}]",[]
42,5,ONIC Esports PH,"[{""ign"": ""Fuzaken"", ""role"": ""Roamer""}, {""ign"": ""Ryo"", ""role"": """"}, {""ign"": ""Dlar"", ""role"": ""EXP Lane""}, {""ign"": ""Wise"", ""role"": ""Middle""}, {""ign"": ""Iy4knu"", ""role"": ""Gold Lane""}, {""ign"": ""Jay"", ""role"": ""Roamer""}, {""ign"": ""OhMyV33Nus"", ""role"": ""Roamer""}]",[]
43,5,SGD Omega,"[{""ign"": ""Nina"", ""role"": ""S""}, {""ign"": ""Dale"", ""role"": """"}, {""ign"": ""Kenji"", ""role"": ""EXP Lane""}, {""ign"": ""Hadjizy"", ""role"": ""Middle""}, {""ign"": ""Toshinu"", ""role"": ""Gold Lane""}, {""ign"": ""Haze"", ""role"": ""Roamer""}, {""ign"": ""Heath"", ""role"": ""Roamer""}]",[]
44,5,Execration,"[{""ign"": ""Cyre"", ""role"": ""Roamer""}, {""ign"": ""YoLo"", ""role"": """"}, {""ign"": ""Z4pnu"", ""role"": ""EXP Lane""}, {""ign"": ""Hate"", ""role"": ""Middle""}, {""ign"": ""Bennyqt"", ""role"": ""Gold Lane""}, {""ign"": ""Ch4knu"", ""role"": ""Roamer""}, {""ign"": ""E2Max"", ""role"": ""Roamer""}]",[]
45,5,AP.Bren,"[{""ign"": ""Ejhay"", ""role"": ""S""}, {""ign"": ""Duckeyyy"", ""role"": """"}, {""ign"": ""Coco"", ""role"": ""EXP Lane""}, {""ign"": ""KarlTzy"", ""role"": ""Middle""}, {""ign"": ""Pheww"", ""role"": ""Gold Lane""}, {""ign"": ""Lastii"", ""role"": ""Roamer""}, {""ign"": ""Ribo"", ""role"": ""Roamer""}]",[]
46,5,Geek Fam PH,"[{""ign"": ""ynoT"", ""role"": ""Roamer""}, {""ign"": ""Mae"", ""role"": ""EXP Lane""}, {""ign"": ""Exort"", ""role"": ""Middle""}, {""ign"": ""KurtTzy"", ""role"": ""Gold Lane""}, {""ign"": ""Cktd"", ""role"": ""Roamer""}, {""ign"": ""Jieo"", ""role"": ""Roamer""}]",[]
47,5,STI e-Olympians,"[{""ign"": ""Crypzu"", ""role"": ""Gold Lane""}, {""ign"": ""Nicssu"", ""role"": ""EXP Lane""}, {""ign"": ""Yuji"", ""role"": ""Middle""}, {""ign"": ""Lembot"", ""role"": ""Gold Lane""}, {""ign"": ""Dokmen"", ""role"": ""Roamer""}, {""ign"": ""Lard"", ""role"": ""Roamer""}]",[]
