id,season,team_name,players,staff
99,11,Omega Esports,"[{""ign"": ""Louis"", ""role"": ""EXP Lane""}, {""ign"": ""Pakbet"", ""role"": """"}, {""ign"": ""Renzio"", ""role"": ""EXP Lane""}, {""ign"": ""Raizen"", ""role"": ""Jungler""}, {""ign"": ""Stowm"", ""role"": ""Middle""}, {""ign"": ""Kelra"", ""role"": ""Gold Lane""}, {""ign"": ""Mikko"", ""role"": ""Roamer""}]","[{""ign"": ""YnoT"", ""role"": ""Head Coach""}, {""ign"": ""E2MAX"", ""role"": ""Technical Coach""}]"
100,11,ONIC PH,"[{""ign"": ""Der"", ""role"": ""EXP Lane""}, {""ign"": ""Pancake"", ""role"": ""Roamer""}, {""ign"": ""BOSS A"", ""role"": ""Gold Lane""}, {""ign"": ""Ryota"", ""role"": ""EXP Lane""}, {""ign"": ""Sensui"", ""role"": ""Jungler""}, {""ign"": ""Frinceee"", ""role"": ""Middle""}, {""ign"": ""Nets"", ""role"": ""Gold Lane""}, {""ign"": ""Kekedoot"", ""role"": ""Roamer""}]","[{""ign"": ""Bluffzy"", ""role"": ""Head Coach""}, {""ign"": ""Lyrick"", ""role"": ""Assistant Coach""}]"
101,11,RSG PH,"[{""ign"": ""Kouzen"", ""role"": ""Gold Lane""}, {""ign"": ""Kirk"", ""role"": ""EXP Lane""}, {""ign"": ""H2wo"", ""role"": ""Jungler""}, {""ign"": ""Nathzz"", ""role"": ""EXP Lane""}, {""ign"": ""Irrad"", ""role"": ""Jungler""}, {""ign"": ""Exort"", ""role"": ""Middle""}, {""ign"": ""EMANN"", ""role"": ""Gold Lane""}, {""ign"": ""Light"", ""role"": ""Roamer""}]","[{""ign"": ""Panda"", ""role"": ""Head Coach""}, {""ign"": ""Theo"", ""role"": ""Assistant Coach""}]"
102,11,TNC Pro Team,"[{""ign"": ""Kramm"", ""role"": ""EXP Lane""}, {""ign"": ""Saxa"", ""role"": ""Jungler""}, {""ign"": ""Riku"", ""role"": ""Middle""}, {""ign"": ""Ninjakilla"", ""role"": ""Gold Lane""}, {""ign"": ""Goyo"", ""role"": ""Middle""}, {""ign"": ""413"", ""role"": """"}, {""ign"": ""Hesu"", ""role"": ""EXP Lane""}, {""ign"": ""K1NGKONG"", ""role"": ""Jungler""}, {""ign"": ""Escalera"", ""role"": ""Middle""}, {""ign"": ""Innocent"", ""role"": ""Gold Lane""}, {""ign"": ""Benthings"", ""role"": ""Roamer""}]","[{""ign"": ""Lift"", ""role"": ""Head Coach""}, {""ign"": ""Scholar"", ""role"": ""Assistant Coach""}, {""ign"": ""Right"", ""role"": ""Assistant Coach""}]"
103,12,AP.Bren,"[{""ign"": ""Pandora"", ""role"": ""EXP Lane""}, {""ign"": ""Mumukid"", ""role"": ""Middle""}, {""ign"": ""FlapTzy"", ""role"": ""EXP Lane""}, {""ign"": ""KyleTzy"", ""role"": ""Jungler""}, {""ign"": ""Pheww"", ""role"": ""Middle""}, {""ign"": ""Super Marco"", ""role"": ""Gold Lane""}, {""ign"": ""Owgwen"", ""role"": ""Roamer""}]","[{""ign"": ""Ducky"", ""role"": ""Head Coach""}, {""ign"": ""Vren"", ""role"": ""Assistant Coach""}]"
104,12,Blacklist Intl.,"[{""ign"": ""Dominic"", ""role"": ""EXP Lane""}, {""ign"": ""Rindo"", ""role"": ""Jungler""}, {""ign"": ""Hadji"", ""role"": ""Middle""}, {""ign"": ""Owl"", ""role"": ""Gold Lane""}, {""ign"": ""Kimpoy"", ""role"": ""Roamer""}, {""ign"": ""Eyon"", ""role"": ""Middle""}, {""ign"": ""Calad"", ""role"": """"}, {""ign"": ""Edward"", ""role"": ""EXP Lane""}, {""ign"": ""Sensui"", ""role"": ""Jungler""}, {""ign"": ""Yue"", ""role"": ""Middle""}, {""ign"": ""Oheb"", ""role"": ""Gold Lane""}, {""ign"": ""Renejay"", ""role"": ""Roamer""}]","[{""ign"": ""Master the Basics"", ""role"": ""Head Coach""}, {""ign"": ""BON CHAN"", ""role"": ""Assistant Coach""}, {""ign"": ""Dex Star"", ""role"": ""Assistant Coach""}]"
105,12,Team Liquid PH,"[{""ign"": ""Yawi"", ""role"": ""Roamer""}, {""ign"": ""Sanford"", ""role"": ""EXP Lane""}, {""ign"": ""KarlTzy"", ""role"": ""Jungler""}, {""ign"": ""Sanji"", ""role"": ""Middle""}, {""ign"": ""Bennyqt"", ""role"": ""Gold Lane""}, {""ign"": ""Jaypee"", ""role"": ""Roamer""}]","[{""ign"": ""Tictac"", ""role"": ""Head Coach""}, {""ign"": ""Trebor"", ""role"": ""Assistant Coach""}]"
106,12,Minana EVOS,"[{""ign"": ""Lansu"", ""role"": ""EXP Lane""}, {""ign"": ""Boyet"", ""role"": ""Jungler""}, {""ign"": ""Goyong"", ""role"": ""Middle""}, {""ign"": ""Sumpak"", ""role"": ""Gold Lane""}, {""ign"": ""Brusko"", ""role"": ""Roamer""}, {""ign"": ""YellyHaze"", ""role"": """"}, {""ign"": ""Imbadeejay"", ""role"": """"}, {""ign"": ""Bitoy"", ""role"": """"}, {""ign"": ""Lord JM"", ""role"": ""EXP Lane""}, {""ign"": ""Kzen"", ""role"": ""Jungler""}, {""ign"": ""LanceCy"", ""role"": ""Middle""}, {""ign"": ""Domeng"", ""role"": ""Gold Lane""}, {""ign"": ""SpiderMilez"", ""role"": ""Roamer""}]","[{""ign"": ""Isonn"", ""role"": ""Head Coach""}]"
107,12,Omega Esports,"[{""ign"": ""Jowm"", ""role"": ""Gold Lane""}, {""ign"": ""Ribo"", ""role"": ""Flex""}, {""ign"": ""Spideeey"", ""role"": ""Jungler""}, {""ign"": ""Andoryuuu"", ""role"": ""Jungler""}, {""ign"": ""Stronger"", ""role"": """"}, {""ign"": ""Ryota"", ""role"": ""EXP Lane""}, {""ign"": ""Matt"", ""role"": ""Jungler""}, {""ign"": ""E2MAX"", ""role"": ""Middle""}, {""ign"": ""Kelra"", ""role"": ""Gold Lane""}, {""ign"": ""Ch4knu"", ""role"": ""Roamer""}]",[]
108,12,ONIC PH,"[{""ign"": ""Jem"", ""role"": ""EXP Lane""}, {""ign"": ""Yoshinu"", ""role"": ""Roamer""}, {""ign"": ""Perkziva"", ""role"": ""Roamer""}, {""ign"": ""Rapidoot"", ""role"": ""Roamer""}, {""ign"": ""BOSS A"", ""role"": ""Gold Lane""}, {""ign"": ""Bam"", ""role"": """"}, {""ign"": ""Kramm"", ""role"": ""EXP Lane""}, {""ign"": ""Raizen"", ""role"": ""Jungler""}, {""ign"": ""Super Frince"", ""role"": ""Middle""}, {""ign"": ""Nets"", ""role"": ""Gold Lane""}, {""ign"": ""Escalera"", ""role"": ""Roamer""}]","[{""ign"": ""Bluffzy"", ""role"": ""Head Coach""}, {""ign"": ""Jeff"", ""role"": ""Strategic Coach""}, {""ign"": ""Wuraaaah"", ""role"": ""Assistant Coach""}]"
109,12,RSG PH,"[{""ign"": ""RTZY"", ""role"": ""Middle""}, {""ign"": ""Souuul"", ""role"": ""Gold Lane""}, {""ign"": ""Nathzz"", ""role"": ""EXP Lane""}, {""ign"": ""Irrad"", ""role"": ""Jungler""}, {""ign"": ""Aqua"", ""role"": ""Middle""}, {""ign"": ""EMANN"", ""role"": ""Gold Lane""}, {""ign"": ""Light"", ""role"": ""Roamer""}]","[{""ign"": ""Panda"", ""role"": ""Head Coach""}, {""ign"": ""Theo"", ""role"": ""Assistant Coach""}]"
110,12,TNC Pro Team,"[{""ign"": ""Bao"", ""role"": ""EXP Lane""}, {""ign"": ""Hesu"", ""role"": ""EXP Lane""}, {""ign"": ""Yasuwo"", ""role"": """"}, {""ign"": ""Ajayy"", ""role"": ""EXP Lane""}, {""ign"": ""K1NGKONG"", ""role"": ""Jungler""}, {""ign"": ""Goyo"", ""role"": ""Middle""}, {""ign"": ""Innocent"", ""role"": ""Gold Lane""}, {""ign"": ""Benthings"", ""role"": ""Roamer""}]","[{""ign"": ""Scholar"", ""role"": ""Head Coach""}]"
111,13,AP.Bren,"[{""ign"": ""Pando"", ""role"": ""EXP Lane""}, {""ign"": ""FlapTzy"", ""role"": ""EXP Lane""}, {""ign"": ""KyleTzy"", ""role"": ""Jungler""}, {""ign"": ""Pheww"", ""role"": ""Middle""}, {""ign"": ""Super Marco"", ""role"": ""Gold Lane""}, {""ign"": ""Owgwen"", ""role"": ""Roamer""}]","[{""ign"": ""Ducky"", ""role"": ""Head Coach""}, {""ign"": ""Trebor"", ""role"": ""Technical Coach""}]"
112,13,Blacklist Intl.,"[{""ign"": ""Kimpoy"", ""role"": ""Roamer""}, {""ign"": ""ESON"", ""role"": ""Roamer""}, {""ign"": ""Calad"", ""role"": """"}, {""ign"": ""Edward"", ""role"": ""EXP Lane""}, {""ign"": ""Sensui"", ""role"": ""Jungler""}, {""ign"": ""Yue"", ""role"": ""Middle""}, {""ign"": ""Oheb"", ""role"": ""Gold Lane""}, {""ign"": ""Hadji"", ""role"": ""Roamer""}]","[{""ign"": ""BON CHAN"", ""role"": ""Head Coach""}, {""ign"": ""Dex Star"", ""role"": ""Assistant Coach""}, {""ign"": ""Master the Basics"", ""role"": ""Technical Coach""}]"
113,13,Team Liquid PH,"[{""ign"": ""EJJJ"", ""role"": ""EXP Lane""}, {""ign"": ""Zaida"", ""role"": ""Jungler""}, {""ign"": ""Outplayed"", ""role"": ""Gold Lane""}, {""ign"": ""Sanford"", ""role"": ""EXP Lane""}, {""ign"": ""KarlTzy"", ""role"": ""Jungler""}, {""ign"": ""Sanji"", ""role"": ""Middle""}, {""ign"": ""Bennyqt"", ""role"": ""Gold Lane""}, {""ign"": ""Jaypee"", ""role"": ""Roamer""}]","[{""ign"": ""Tictac"", ""role"": ""Head Coach""}]"
114,13,Minana EVOS,"[{""ign"": ""Vane"", ""role"": ""EXP Lane""}, {""ign"": ""Koyl"", ""role"": ""Jungler""}, {""ign"": ""YellyHaze"", ""role"": ""Middle""}, {""ign"": ""Sumpak"", ""role"": ""Gold Lane""}, {""ign"": ""Perkz"", ""role"": ""Roamer""}, {""ign"": ""Super Kurt"", ""role"": """"}, {""ign"": ""Kirk"", ""role"": ""EXP Lane""}, {""ign"": ""Kzen"", ""role"": ""Jungler""}, {""ign"": ""Lancecy"", ""role"": ""Middle""}, {""ign"": ""Domeng"", ""role"": ""Gold Lane""}, {""ign"": ""SpiderMilez"", ""role"": ""Roamer""}]","[{""ign"": ""Bitoy"", ""role"": ""Head Coach""}, {""ign"": ""Imbadeejay"", ""role"": ""Assistant Coach""}]"
115,13,Omega Esports,"[{""ign"": ""Louis"", ""role"": ""EXP Lane""}, {""ign"": ""Matt"", ""role"": ""Jungler""}, {""ign"": ""Exort"", ""role"": ""Middle""}, {""ign"": ""West"", ""role"": ""Gold Lane""}, {""ign"": ""Ribo"", ""role"": ""Roamer""}, {""ign"": ""Rayl"", ""role"": ""Middle""}, {""ign"": ""H2wo"", ""role"": ""Jungler""}, {""ign"": ""Marked"", ""role"": ""Roamer""}, {""ign"": ""SN4P"", ""role"": """"}, {""ign"": ""Ryota"", ""role"": ""EXP Lane""}, {""ign"": ""Andoryuuu"", ""role"": ""Jungler""}, {""ign"": ""Ukir"", ""role"": ""Middle""}, {""ign"": ""Jowm"", ""role"": ""Gold Lane""}, {""ign"": ""Ch4knu"", ""role"": ""Roamer""}]","[{""ign"": ""Stronger"", ""role"": ""Head Coach""}, {""ign"": ""Lembot"", ""role"": ""Assistant Coach""}]"
116,13,FNATIC Onic PH,"[{""ign"": ""BOSS A"", ""role"": ""Gold Lane""}, {""ign"": ""Bam"", ""role"": """"}, {""ign"": ""Jem"", ""role"": ""EXP Lane""}, {""ign"": ""K1NGKONG"", ""role"": ""Jungler""}, {""ign"": ""Super Frince"", ""role"": ""Middle""}, {""ign"": ""Kelra"", ""role"": ""Gold Lane""}, {""ign"": ""Escalera"", ""role"": ""Roamer""}]","[{""ign"": ""YnoT"", ""role"": ""Head Coach""}, {""ign"": ""E2MAX"", ""role"": ""Assistant Coach""}]"
117,13,RSG PH,"[{""ign"": ""Nibor"", ""role"": ""EXP Lane""}, {""ign"": ""rTzy"", ""role"": ""Middle""}, {""ign"": ""Panda"", ""role"": """"}, {""ign"": ""Dalyot"", ""role"": """"}, {""ign"": ""Nathzz"", ""role"": ""EXP Lane""}, {""ign"": ""Demonkite"", ""role"": ""Jungler""}, {""ign"": ""Aqua"", ""role"": ""Middle""}, {""ign"": ""Kousei"", ""role"": ""Gold Lane""}, {""ign"": ""Light"", ""role"": ""Roamer""}]",[]
118,13,TNC Pro Team,"[{""ign"": ""Yasuwo"", ""role"": ""Gold Lane""}, {""ign"": ""Goyo"", ""role"": ""Middle""}, {""ign"": ""HEADS"", ""role"": ""EXP Lane""}, {""ign"": ""Raizen"", ""role"": ""Jungler""}, {""ign"": ""Hatred"", ""role"": ""Middle""}, {""ign"": ""Nomed"", ""role"": ""Gold Lane""}, {""ign"": ""Yoshinu"", ""role"": ""Roamer""}]","[{""ign"": ""Benthings"", ""role"": ""Head Coach""}]"
119,14,Aurora,"[{""ign"": ""Benthings"", ""role"": ""Roamer""}, {""ign"": ""Edward"", ""role"": ""EXP Lane""}, {""ign"": ""Demonkite"", ""role"": ""Jungler""}, {""ign"": ""Yue"", ""role"": ""Middle""}, {""ign"": ""Domeng"", ""role"": ""Gold Lane""}, {""ign"": ""Renejay"", ""role"": ""Roamer""}]","[{""ign"": ""Master the Basics"", ""role"": ""Head Coach""}, {""ign"": ""Dex Star"", ""role"": ""Assistant Coach""}]"
120,14,Blacklist Intl.,"[{""ign"": ""Dlar"", ""role"": ""EXP Lane""}, {""ign"": ""MarkTzy"", ""role"": ""Jungler""}, {""ign"": ""Exort"", ""role"": ""Middle""}, {""ign"": ""Outplayed"", ""role"": ""Gold Lane""}, {""ign"": ""Kimpoy"", ""role"": ""Roamer""}, {""ign"": ""Super Kurt"", ""role"": """"}, {""ign"": ""Lord JM"", ""role"": ""EXP Lane""}, {""ign"": ""MP the King"", ""role"": ""Jungler""}, {""ign"": ""Hadji"", ""role"": ""Middle""}, {""ign"": ""Oheb"", ""role"": ""Gold Lane""}, {""ign"": ""Perkz"", ""role"": ""Roamer""}]","[{""ign"": ""BON CHAN"", ""role"": ""Head Coach""}, {""ign"": ""ESON"", ""role"": ""Assistant Coach""}, {""ign"": ""BomBi"", ""role"": ""Technical Coach""}]"
121,14,AP.Bren,"[{""ign"": ""Pandora"", ""role"": ""EXP Lane""}, {""ign"": ""FlapTzy"", ""role"": ""EXP Lane""}, {""ign"": ""KyleTzy"", ""role"": ""Jungler""}, {""ign"": ""Pheww"", ""role"": ""Middle""}, {""ign"": ""Super Marco"", ""role"": ""Gold Lane""}, {""ign"": ""Owgwen"", ""role"": ""Roamer""}]","[{""ign"": ""Ducky"", ""role"": ""Head Coach""}, {""ign"": ""Trebor"", ""role"": ""Technical Coach""}]"
122,14,ONIC PH,"[{""ign"": ""SpiderMilez"", ""role"": ""Roamer""}, {""ign"": ""Kirk"", ""role"": ""EXP Lane""}, {""ign"": ""K1NGKONG"", ""role"": ""Jungler""}, {""ign"": ""Super Frince"", ""role"": ""Middle""}, {""ign"": ""Kelra"", ""role"": ""Gold Lane""}, {""ign"": ""Brusko"", ""role"": ""Roamer""}]","[{""ign"": ""YnoT"", ""role"": ""Head Coach""}, {""ign"": ""Haze"", ""role"": ""Assistant Coach""}]"
123,14,Omega Esports,"[{""ign"": ""Ribo"", ""role"": ""Flex""}, {""ign"": ""Bornok"", ""role"": ""Middle""}, {""ign"": ""SN4P"", ""role"": """"}, {""ign"": ""Ryota"", ""role"": ""EXP Lane""}, {""ign"": ""Andoryuuu"", ""role"": ""Jungler""}, {""ign"": ""Riku"", ""role"": ""Middle""}, {""ign"": ""Jowm"", ""role"": ""Gold Lane""}, {""ign"": ""Ch4knu"", ""role"": ""Roamer""}]","[{""ign"": ""Stronger"", ""role"": ""Head Coach""}, {""ign"": ""Lembot"", ""role"": ""Assistant Coach""}]"
124,14,RSG PH,"[{""ign"": ""Nathzz"", ""role"": ""EXP Lane""}, {""ign"": ""BAI LUCI"", ""role"": ""EXP Lane""}, {""ign"": ""Nibor"", ""role"": ""EXP Lane""}, {""ign"": ""Irrad"", ""role"": ""Jungler""}, {""ign"": ""Aqua"", ""role"": ""Middle""}, {""ign"": ""Kousei"", ""role"": ""Gold Lane""}, {""ign"": ""Light"", ""role"": ""Roamer""}]","[{""ign"": ""Panda"", ""role"": ""Head Coach""}, {""ign"": ""Dalyot"", ""role"": ""Assistant Coach""}, {""ign"": ""Link"", ""role"": ""Assistant Coach""}]"
125,14,Team Liquid PH,"[{""ign"": ""Zaida"", ""role"": ""Jungler""}, {""ign"": ""Cjay"", ""role"": """"}, {""ign"": ""Cyre"", ""role"": """"}, {""ign"": ""Sanford"", ""role"": ""EXP Lane""}, {""ign"": ""KarlTzy"", ""role"": ""Jungler""}, {""ign"": ""Sanji"", ""role"": ""Middle""}, {""ign"": ""Bennyqt"", ""role"": ""Gold Lane""}, {""ign"": ""Jaypee"", ""role"": ""Roamer""}]","[{""ign"": ""Tictac"", ""role"": ""Head Coach""}]"
126,14,TNC Pro Team,"[{""ign"": ""SDzyz"", ""role"": ""Jungler""}, {""ign"": ""Hatred"", ""role"": ""Middle""}, {""ign"": ""Goyo"", ""role"": """"}, {""ign"": ""HEADS"", ""role"": ""EXP Lane""}, {""ign"": ""Kzen"", ""role"": ""Jungler""}, {""ign"": ""LanceCy"", ""role"": ""Middle""}, {""ign"": ""Kouzen"", ""role"": ""Gold Lane""}, {""ign"": ""Escalera"", ""role"": ""Roamer""}]","[{""ign"": ""Wolf"", ""role"": ""Head Coach""}, {""ign"": ""E2MAX"", ""role"": ""Assistant Coach""}]"
127,15,AP.Bren,"[{""ign"": ""Sindel"", ""role"": ""Gold Lane""}, {""ign"": ""Bom"", ""role"": """"}, {""ign"": ""Der"", ""role"": ""EXP Lane""}, {""ign"": ""Jamespangks"", ""role"": ""Jungler""}, {""ign"": ""Chovskrt"", ""role"": ""Middle""}, {""ign"": ""Shizou"", ""role"": ""Gold Lane""}, {""ign"": ""KKDot"", ""role"": ""Roamer""}]","[{""ign"": ""Jeff"", ""role"": ""Head Coach""}, {""ign"": ""Pakbet"", ""role"": ""Assistant Coach""}, {""ign"": ""Cjay"", ""role"": ""Technical Coach""}]"
128,15,Aurora,"[{""ign"": ""Calad"", ""role"": ""Flex""}, {""ign"": ""Edward"", ""role"": ""EXP Lane""}, {""ign"": ""Demonkite"", ""role"": ""Jungler""}, {""ign"": ""Yue"", ""role"": ""Middle""}, {""ign"": ""Domengkite"", ""role"": ""Gold Lane""}, {""ign"": ""Renejay"", ""role"": ""Roamer""}]","[{""ign"": ""Master the Basics"", ""role"": ""Head Coach""}, {""ign"": ""Dex Star"", ""role"": ""Assistant Coach""}]"
129,15,Omega Esports,"[{""ign"": ""Ch4knu"", ""role"": ""Roamer""}, {""ign"": ""Louis"", ""role"": ""EXP Lane""}, {""ign"": ""Andoryuuu"", ""role"": ""Jungler""}, {""ign"": ""Uk1r"", ""role"": ""Middle""}, {""ign"": ""Jowm"", ""role"": ""Gold Lane""}, {""ign"": ""Super Yoshi"", ""role"": ""Roamer""}]","[{""ign"": ""Lembot"", ""role"": ""Head Coach""}, {""ign"": ""SN4P"", ""role"": ""Assistant Coach""}]"
130,15,ONIC PH,"[{""ign"": ""Hate"", ""role"": ""Flex""}, {""ign"": ""Kirk"", ""role"": ""EXP Lane""}, {""ign"": ""K1NGKONG"", ""role"": ""Jungler""}, {""ign"": ""Super Frince"", ""role"": ""Middle""}, {""ign"": ""Kelra"", ""role"": ""Gold Lane""}, {""ign"": ""Brusko"", ""role"": ""Roamer""}]","[{""ign"": ""YNot"", ""role"": ""Head Coach""}, {""ign"": ""Haze"", ""role"": ""Assistant Coach""}]"
131,15,Team Falcons PH,"[{""ign"": ""Pandora"", ""role"": ""Flex""}, {""ign"": ""Trebor"", ""role"": """"}, {""ign"": ""FlapTzy"", ""role"": ""EXP Lane""}, {""ign"": ""KyleTzy"", ""role"": ""Jungler""}, {""ign"": ""Pheww"", ""role"": ""Middle""}, {""ign"": ""Super Marco"", ""role"": ""Gold Lane""}, {""ign"": ""Owgwen"", ""role"": ""Roamer""}]",[]
132,15,Team Liquid PH,"[{""ign"": ""YukTzy"", ""role"": ""Gold Lane""}, {""ign"": ""Perkz"", ""role"": ""Roamer""}, {""ign"": ""Ar Sy"", ""role"": """"}, {""ign"": ""Sanford"", ""role"": ""EXP Lane""}, {""ign"": ""KarlTzy"", ""role"": ""Jungler""}, {""ign"": ""Sanji"", ""role"": ""Middle""}, {""ign"": ""Oheb"", ""role"": ""Gold Lane""}, {""ign"": ""Jaypee"", ""role"": ""Roamer""}]",[]
133,15,TNC Pro Team,"[{""ign"": ""Lord JM"", ""role"": ""EXP Lane""}, {""ign"": ""Koyl"", ""role"": ""Jungler""}, {""ign"": ""Kouzen"", ""role"": ""Gold Lane""}, {""ign"": ""3MarTzy"", ""role"": ""EXP Lane""}, {""ign"": ""Zaida"", ""role"": ""Jungler""}, {""ign"": ""LanceCy"", ""role"": ""Middle""}, {""ign"": ""Bennyqt"", ""role"": ""Gold Lane""}, {""ign"": ""Yawi"", ""role"": ""Roamer""}]","[{""ign"": ""Imbadeejay"", ""role"": ""Head Coach""}, {""ign"": ""Xemy"", ""role"": ""Assistant Coach""}]"
134,15,Twisted Minds PH,"[{""ign"": ""Lamaj"", ""role"": ""Gold Lane""}, {""ign"": ""Sensui"", ""role"": ""Roamer""}, {""ign"": ""Jeymz"", ""role"": ""EXP Lane""}, {""ign"": ""MP the King"", ""role"": ""Jungler""}, {""ign"": ""Hadji"", ""role"": ""Middle""}, {""ign"": ""Outplayed"", ""role"": ""Gold Lane""}, {""ign"": ""Escalera"", ""role"": ""Roamer""}]","[{""ign"": ""BON CHAN"", ""role"": ""Head Coach""}, {""ign"": ""ESON"", ""role"": ""Assistant Coach""}]"
135,16,AP.Bren,"[{""ign"": ""Chovskrt"", ""role"": ""Middle""}, {""ign"": ""Lord JM"", ""role"": ""EXP Lane""}, {""ign"": ""Jamespangks"", ""role"": ""Jungler""}, {""ign"": ""Aqua"", ""role"": ""Middle""}, {""ign"": ""Shizou"", ""role"": ""Gold Lane""}, {""ign"": ""xNova"", ""role"": ""Roamer""}]","[{""ign"": ""Jeff"", ""role"": ""Head Coach""}, {""ign"": ""Cons"", ""role"": ""Assistant Coach""}]"
136,16,Aurora,"[{""ign"": ""Calad"", ""role"": ""Flex""}, {""ign"": ""Edward"", ""role"": ""EXP Lane""}, {""ign"": ""Demonkite"", ""role"": ""Jungler""}, {""ign"": ""Yue"", ""role"": ""Middle""}, {""ign"": ""Domengkite"", ""role"": ""Gold Lane""}, {""ign"": ""Light"", ""role"": ""Roamer""}]","[{""ign"": ""Master the Basics"", ""role"": ""Head Coach""}, {""ign"": ""Dex Star"", ""role"": ""Assistant Coach""}]"
137,16,Omega Esports,"[{""ign"": ""Peuder"", ""role"": ""Flex""}, {""ign"": ""SN4P"", ""role"": """"}, {""ign"": ""Jeymz"", ""role"": ""EXP Lane""}, {""ign"": ""Raizen"", ""role"": ""Jungler""}, {""ign"": ""Hadji"", ""role"": ""Middle""}, {""ign"": ""Netskie"", ""role"": ""Gold Lane""}, {""ign"": ""Super Yoshi"", ""role"": ""Roamer""}]","[{""ign"": ""Wurahhhh"", ""role"": ""Head Coach""}, {""ign"": ""Lembot"", ""role"": ""Assistant Coach""}]"
138,16,ONIC PH,"[{""ign"": ""Ryota"", ""role"": ""EXP Lane""}, {""ign"": ""Hate"", ""role"": ""Flex""}, {""ign"": ""YnoT"", ""role"": """"}, {""ign"": ""Haze"", ""role"": """"}, {""ign"": ""Kirk"", ""role"": ""EXP Lane""}, {""ign"": ""K1NGKONG"", ""role"": ""Jungler""}, {""ign"": ""Super Frince"", ""role"": ""Middle""}, {""ign"": ""Kelra"", ""role"": ""Gold Lane""}, {""ign"": ""Brusko"", ""role"": ""Roamer""}]",[]
